Word,FREQcount
и,36209
в,27965
не,20408
он,18972
на,16513
я,15227
что,12640
тот,11307
быть,11251
с,11130
а,9601
весь,8512
это,8007
как,7165
она,6958
по,5816
но,5677
они,5654
к,5467
у,4956
из,4816
мы,4731
за,4711
ты,4628
вы,3896
так,3674
же,3595
сказать,3543
от,3540
этот,3457
который,3361
мочь,3262
о,2955
человек,2884
один,2872
еще,2742
бы,2699
такой,2651
только,2628
себя,2522
свое,2403
какой,2338
для,2301
уже,2278
когда,2268
кто,2154
вот,2153
да,2067
год,2039
знать,1985
если,1979
до,1978
говорить,1976
или,1932
мой,1922
время,1856
рука,1772
самый,1738
нет,1697
ни,1660
стать,1659
большой,1617
наш,1589
даже,1580
другой,1577
свой,1528
дело,1487
под,1466
где,1466
чтобы,1439
ну,1420
сам,1398
есть,1384
раз,1372
два,1366
чем,1336
там,1334
глаз,1308
первый,1284
день,1281
жизнь,1248
во,1241
тут,1234
ничто,1213
потом,1200
со,1198
очень,1188
ли,1173
при,1163
хотеть,1156
надо,1139
голова,1112
без,1096
видеть,1047
теперь,1044
идти,1028
друг,1017
сейчас,1014
стоять,1003
дом,1000
тоже,993
после,979
можно,963
слово,957
через,943
место,930
думать,929
здесь,927
спросить,922
лицо,918
тогда,874
что,860
должный,854
ведь,852
новый,850
каждый,831
хороший,824
жить,781
почему,780
потому,777
сторона,775
смотреть,774
иметь,762
просто,751
понять,740
сидеть,735
об,732
нога,732
делать,717
сделать,713
вдруг,707
никто,701
работа,697
перед,695
ваш,694
нужный,692
над,691
взять,689
конечно,682
понимать,680
дверь,671
казаться,670
три,669
конец,662
город,661
несколько,654
начать,646
голос,641
час,638
пока,636
уж,635
последний,634
более,634
земля,622
хорошо,613
хотя,608
сила,604
вода,598
второй,597
увидеть,592
всегда,591
давать,590
случай,585
куда,585
пойти,582
стол,579
машина,575
мир,569
ночь,567
женщина,564
остаться,562
сразу,561
совсем,557
ребенок,557
выйти,554
вид,547
отец,542
вопрос,538
дать,534
работать,526
оказаться,523
ряд,522
почти,519
снова,513
старый,508
страна,507
твой,505
между,501
ответить,498
много,497
война,494
подумать,492
деньги,492
любить,490
значить,487
белый,481
главный,480
минута,480
лишь,479
товарищ,476
опять,474
ждать,470
однако,462
правда,460
посмотреть,458
про,455
никогда,452
будто,452
часть,452
именно,451
найти,449
дорога,448
свет,447
жена,445
никакой,440
лежать,431
окно,430
россия,427
мать,423
решить,421
получить,413
москва,408
писать,407
улица,403
вернуться,401
вообще,401
некоторый,401
далекий,396
маленький,396
считать,395
комната,395
утро,393
советский,392
вечер,389
сегодня,388
душа,388
книга,387
плечо,385
вместе,383
таки,382
чуть,379
пол,378
помнить,377
сколько,375
народ,374
хоть,372
взгляд,370
русский,367
зачем,364
история,362
полный,362
узнать,362
любой,359
бог,357
прийти,353
ходить,353
заметить,351
известный,351
палец,350
словно,349
наконец,349
общий,348
имя,348
назад,348
бывать,347
мысль,346
слышать,346
уйти,341
прошлый,339
бояться,335
быстро,333
давно,332
слушать,331
прямо,327
разговор,327
долго,326
нельзя,324
похожий,323
право,321
лес,319
пять,318
глядеть,318
сын,318
путь,317
тысяча,316
пора,316
красный,316
сесть,315
оно,315
кроме,313
стена,312
оставаться,311
ж,308
высокий,303
хотеться,302
совершенно,301
поэтому,301
написать,300
пусть,298
ранний,298
читать,298
чувствовать,297
спина,297
месяц,297
целый,296
вести,296
молодой,295
огромный,294
тело,293
настоящий,292
продолжать,291
точно,290
язык,289
мама,289
среди,288
старик,288
успеть,288
смерть,287
власть,287
мальчик,287
также,286
брать,286
образ,284
письмо,283
живой,282
отношение,281
сердце,280
ко,279
начальник,279
пройти,279
начинать,278
вокруг,277
появиться,277
черный,276
девушка,274
солдат,273
иногда,272
забыть,272
вспомнить,271
небо,270
затем,269
система,269
воздух,269
оба,268
собственный,267
пытаться,267
находиться,266
держать,266
просить,266
показать,266
разный,266
ребята,266
брат,264
квартира,264
откуда,261
выходить,261
четыре,260
поднять,260
генерал,260
называть,259
третий,258
послать,255
подойти,255
рассказать,255
особенно,255
кровь,255
встать,254
шаг,254
спрашивать,253
хозяин,253
внимание,252
следовать,252
поставить,252
бросить,252
вроде,252
великий,252
например,251
оставить,251
туда,251
действительно,250
мало,250
школа,249
равно,248
труд,248
капитан,248
сюда,248
слишком,247
следующий,246
тяжелый,246
парень,246
группа,245
солнце,244
любовь,244
отвечать,244
ухо,244
уходить,244
неделя,244
войти,244
чтоб,243
рассказывать,243
молчать,243
ответ,241
десять,241
спать,240
готовый,240
являться,240
двадцать,240
берег,240
помощь,240
мужчина,239
момент,238
искать,238
остановиться,238
личный,236
газета,236
длинный,236
видно,235
против,234
верить,234
чувство,234
порядок,234
семья,232
армия,232
немного,232
играть,231
возможность,230
сильный,230
разве,229
впрочем,229
становиться,229
движение,227
муж,226
нос,225
тихо,224
знакомый,224
огонь,224
двор,223
смочь,221
иной,220
бежать,220
черный,219
скорый,219
наверное,219
приехать,218
простой,218
принять,217
угол,217
смысл,216
открыть,215
общество,215
грудь,215
военный,214
происходить,214
дерево,214
немец,214
губа,213
снег,213
либо,213
дядя,212
ехать,212
очередь,212
кой,211
форма,210
закон,210
собираться,210
показаться,209
собака,209
домой,209
попасть,209
услышать,208
приходить,207
кричать,207
состояние,206
произойти,206
сон,206
подняться,206
ладно,206
карман,206
часто,206
случиться,206
зеленый,205
девочка,205
камень,204
сначала,204
ветер,204
проблема,204
связь,203
стараться,203
гость,202
лучший,201
зуб,201
мера,200
век,200
поехать,200
номер,200
странный,200
страшный,200
средство,199
единственный,199
действие,199
ход,199
государство,198
российский,198
короткий,198
уметь,198
данный,197
необходимый,197
глава,197
партия,197
край,197
вперед,196
река,196
судьба,196
рота,196
добрый,195
речь,194
заниматься,194
вполне,192
положить,192
причина,191
гора,191
никак,191
страх,190
темный,190
едва,190
море,190
зал,190
серый,189
врач,189
возле,189
довольно,189
командир,189
основной,189
медленно,187
ясно,187
боль,187
господин,187
вчера,186
вещь,186
результат,185
число,185
цель,185
начаться,184
легкий,183
звать,183
положение,183
бывший,183
писатель,183
далеко,182
бумага,182
проходить,182
удаться,182
план,182
черта,181
около,181
подобный,181
широкий,180
завтра,180
прийтись,180
документ,180
снять,179
плохо,179
представить,178
прежний,178
произнести,178
небольшой,178
пустой,178
обычно,177
знать,177
волос,177
объяснить,177
пара,176
след,176
представлять,176
решение,176
купить,176
существовать,175
особый,175
иначе,174
умереть,174
класс,174
условие,174
центр,174
красивый,174
скоро,174
прежде,173
пить,173
встреча,173
директор,173
рубль,172
однажды,172
служба,172
процесс,172
близкий,172
чистый,171
президент,171
память,171
сквозь,171
сообщить,171
человеческий,170
