Word,FREQcount
что,3552532
это,2640455
как,1174339
нет,1049935
так,995583
его,752429
все,722378
если,631191
они,534808
есть,450986
для,427940
когда,421340
здесь,410266
только,383956
все,373088
было,371183
может,357142
вот,340913
быть,313741
кто,299982
будет,298842
почему,295613
очень,281777
уже,278258
спасибо,273631
или,272568
еще,268978
там,264211
сейчас,254448
где,254081
чем,253382
ничего,248396
мой,234913
потому,218628
теперь,216086
больше,202968
раз,193840
надо,189178
время,189069
этот,184623
еще,179679
пока,179122
привет,177992
себя,172907
должен,169695
тоже,167958
никогда,161918
того,161739
тогда,159343
тут,154726
конечно,154334
правда,154307
пожалуйста,140855
сказать,139229
сегодня,136912
один,135623
сюда,130931
сделать,126604
всегда,126030
дело,123228
можно,123056
без,119843
день,118088
том,117709
делать,112020
чего,111052
много,109541
после,109028
всего,107074
твой,105811
лет,102100
боже,101843
сэр,101299
ведь,100777
мистер,99992
жизнь,99632
потом,99575
такой,99052
который,96989
через,96333
немного,95662
слишком,94429
себе,94381
зачем,93100
люди,90224
человек,86853
под,86143
назад,85317
мама,82770
вместе,82533
отец,82443
друг,80587
никто,80070
поэтому,78189
два,77008
тот,76641
сколько,76611
снова,76265
помочь,73512
место,71757
знать,71476
парень,70820
домой,70755
деньги,69831
дома,68664
именно,68567
доктор,67918
поговорить,66462
найти,66209
разве,66146
лишь,65808
ага,65490
сам,64565
тем,63890
три,61773
говорить,61591
совсем,61240
какой,60477
дом,59974
должно,58386
про,58180
ваш,57938
жаль,57474
туда,57308
папа,56693
завтра,55928
оно,55655
черт,55607
перед,54678
наш,54529
отсюда,54249
свой,53410
каждый,52005
имя,51199
против,50836
чем,49969
раньше,49196
более,49014
итак,48940
при,48916
вообще,48657
мать,48327
нельзя,48309
ради,47155
ребята,46567
хотя,46068
идти,45654
откуда,45596
другой,45087
видеть,43923
над,43810
равно,43637
мисс,43522
будто,43328
между,42378
вопрос,41857
почти,41718
хоть,40250
работа,40211
сын,40105
пора,39964
жить,39785
господи,39600
весь,39373
убить,39356
ночь,39231
первый,37559
пусть,37504
рад,36727
миссис,36111
иногда,36085
брат,35930
вроде,35897
рядом,35793
мир,35680
помощь,34858
насчет,34635
вчера,34622
увидеть,34406
пойти,33908
работать,33587
дверь,33577
женщина,33537
кроме,33324
будь,33311
здорово,33129
номер,33102
проблема,32987
черт,32881
хороший,32663
дальше,32290
вернуться,32265
давно,32247
последний,32206
узнать,31995
пять,31874
также,31756
вечером,31577
дети,31434
опять,31397
сначала,30957
жена,30704
ночью,30220
взять,30141
сразу,30132
утром,30109
часть,30091
стать,29711
идея,29633
сердце,29016
момент,28780
утро,28764
большой,28409
год,28330
уйти,27794
капитан,27555
любовь,27505
дочь,27412
новый,27283
столько,26881
дать,26825
девушка,26756
вечер,26612
оба,26584
шанс,26416
прежде,26389
понять,26226
рассказать,26144
бог,25920
затем,25898
обо,25824
самый,25746
вон,25698
чтоб,25591
поверить,25583
слово,25563
однажды,25033
получить,24831
алло,24674
посмотреть,24666
тело,24547
лицо,24022
телефон,23675
честь,23657
господин,23619
план,23550
час,23538
насколько,23299
поздно,23235
сестра,23033
следующий,22874
кстати,22754
город,22582
внимание,22551
кофе,22518
семья,22392
конец,22370
позже,22329
думать,22270
спать,22161
остаться,22135
кровь,22028
оружие,22008
хуже,21993
дорогой,21901
полиция,21832
четыре,21692
ждать,21611
способ,21588
смотреть,21445
единственный,21401
вперед,21361
муж,21149
машина,21008
смог,20850
играть,20812
перевод,20654
внутри,20397
добрый,20267
ребенок,20198
мальчик,20166
далеко,19854
вокруг,19795
приятель,19662
мужчина,19534
вернуть,19439
смерть,19437
двое,19304
решение,19240
путь,19228
неужели,19139
около,19138
история,19002
вдруг,18999
спросить,18993
второй,18915
вина,18899
шоу,18718
больно,18711
например,18517
дерьмо,18510
начать,18483
лучший,18458
добро,18435
спасти,18427
оставить,18304
милый,18034
полностью,18026
леди,17964
случай,17881
убийство,17824
использовать,17700
чуть,17579
свет,17428
иметь,17380
шесть,17214
детка,17134
девочка,17044
мало,16966
насчет,16864
сообщение,16854
агент,16748
вместо,16738
настолько,16699
ответ,16697
детектив,16648
родители,16617
показать,16613
маленький,16519
пожаловать,16443
либо,16417
забрать,16381
пол,16199
остановить,16180
убийца,16102
мадам,15916
выйти,15884
возможность,15739
ужин,15699
купить,15632
позвонить,15605
наконец,15577
любой,15488
выбор,15343
настоящий,15134
встретиться,15064
боль,14955
выпить,14948
представить,14926
малыш,14914
окей,14902
речь,14896
президент,14778
мужик,14777
десять,14695
умереть,14677
искать,14662
пистолет,14643
принять,14496
босс,14469
держать,14456
фильм,14446
рано,14411
словно,14393
причина,14391
подумать,14276
вести,14251
вещь,14238
блин,14164
право,14134
ввиду,14114
подарок,14060
позволить,13971
намного,13854
предложение,13757
счет,13724
среди,13571
месяц,13537
проверить,13535
голос,13514
провести,13387
игра,13285
познакомиться,13242
корабль,13202
письмо,13039
вниз,13035
молодец,13017
наверняка,12996
нечего,12942
вид,12908
никакой,12883
связь,12863
список,12853
сидеть,12779
гораздо,12771
впервые,12754
объяснить,12720
семью,12644
свидание,12627
прийти,12591
чувство,12562
сынок,12524
дядя,12434
сон,12288
ехать,12171
никуда,12155
старый,12124
оттуда,12099
фото,12074
пройти,12072
заниматься,12047
пара,12013
никак,12008
недавно,12002
глаз,11981
защитить,11780
благодаря,11730
вперед,11729
навсегда,11723
вполне,11706
семь,11678
идиот,11632
слава,11587
стоило,11586
команда,11578
огонь,11539
замуж,11526
шеф,11485
суд,11483
попробовать,11458
черта,11399
услышать,11361
смысл,11257
стоять,11061
плевать,11059
ключ,11057
верить,11037
слышать,11034
пить,11002
заставить,11000
рот,10985
очередь,10967
разговор,10954
звонок,10951
менее,10937
подальше,10909
адвокат,10829
стоп,10807
ходить,10756
изменить,10725
король,10717
народ,10681
секс,10637
попасть,10596
цель,10508
выше,10496
однако,10495
выход,10470
платье,10468
вовсе,10457
поехать,10275
отличный,10257
ребенок,10230
ого,10204
нечто,10164
выяснить,10162
течение,10130
забыть,10083
совет,10023
подруга,9991
целый,9981
удар,9952
адрес,9947
сержант,9905
разница,9854
открыть,9851
доверять,9785
встреча,9780
убивать,9779
наверно,9737
обед,9730
подождать,9705
вечно,9685
поскольку,9646
весьма,9599
лейтенант,9585
сезон,9572
снаружи,9563
голова,9550
заняться,9529
кино,9528
восемь,9470
магазин,9445
слушать,9420
бизнес,9413
уехать,9408
шаг,9338
плохой,9246
офицер,9242
сюрприз,9222
вода,9165
полный,9147
доказать,9127
война,9122
мысль,9115
большинство,9078
продолжать,9054
ранее,9050
двигаться,9001
чувствовать,8991
любить,8984
величество,8984
попросить,8953
главный,8936
внизу,8929
мнение,8908
часы,8882
вряд,8882
постой,8860
вечеринка,8839
ошибка,8826
профессор,8787
ничто,8748
поле,8734
музыка,8715
бабушка,8704
несмотря,8687
отдать,8635
комната,8549
закончить,8501
врач,8492
пожалуй,8482
роль,8480
порядок,8476
группа,8473
кольцо,8451
вверх,8413
разговаривать,8391
закон,8385
член,8348
такси,8338
серия,8331
молодой,8304
шутка,8291
уходить,8289
снять,8285
разобраться,8254
язык,8247
директор,8238
сто,8233
днем,8220
наверху,8198
сигнал,8174
едва,8165
ответить,8157
спустя,8150
принести,8134
секрет,8126
приказ,8125
бросить,8111
господь,8071
внутрь,8070
компания,8060
прекрасный,8050
память,8002
старик,7997
избавиться,7995
информация,7982
встречаться,7978
спас,7972
мозг,7957
читать,7956
стол,7941
ублюдок,7934
боб,7911
ложь,7904
взглянуть,7876
писать,7868
передать,7862
войти,7853
везде,7850
солнце,7840
класс,7807
убедиться,7735
факт,7731
уничтожить,7729
учитель,7724
бежать,7714
данные,7675
запах,7667
придурок,7648
окно,7606
костюм,7586
